date,reason
2000-05-31,갱신심사 유지 2 (새 근거)
2000-05-31,해제 2->1 (2주 미충족)
2000-06-15,해제 1->0 (2주 미충족)
2000-10-19,승급->1 (L1=2 L2p=0 L3=0)
2001-01-30,해제 1->0 (2주 미충족)
2001-02-23,승급->1 (L1=2 L2p=0 L3=0)
2001-05-10,해제 1->0 (2주 미충족)
2001-09-18,승급->1 (L1=2 L2p=0 L3=0)
2001-10-25,해제 1->0 (2주 미충족)
2002-07-23,승급->1 (L1=2 L2p=0 L3=0)
2002-08-22,해제 1->0 (2주 미충족)
2002-09-18,승급->1 (L1=2 L2p=0 L3=0)
2002-10-29,해제 1->0 (2주 미충족)
2003-01-15,승급->1 (L1=0 L2p=1 L3=1)
2003-01-27,승급->3 (L1=0 L2p=1 L3=1)
2003-02-11,갱신심사 유지 3 (새 근거)
2003-02-14,해제 3->2 (2주 미충족)
2003-02-28,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2003-03-06,승급->3 (L1=0 L2p=1 L3=1)
2003-03-20,갱신심사 유지 3 (새 근거)
2003-03-31,해제 3->2 (2주 미충족)
2003-04-14,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2003-04-28,해제 1->0 (2주 미충족)
2004-03-16,승급->1 (L1=2 L2p=0 L3=0)
2004-04-07,해제 1->0 (2주 미충족)
2004-04-22,승급->1 (L1=1 L2p=0 L3=1)
2004-06-14,해제 1->0 (2주 미충족)
2004-08-09,승급->1 (L1=2 L2p=0 L3=0)
2004-08-27,해제 1->0 (2주 미충족)
2005-04-18,승급->1 (L1=2 L2p=0 L3=0)
2005-05-30,해제 1->0 (2주 미충족)
2005-07-06,승급->1 (L1=2 L2p=0 L3=0)
2005-08-04,해제 1->0 (2주 미충족)
2005-10-06,승급->1 (L1=2 L2p=0 L3=0)
2005-12-07,해제 1->0 (2주 미충족)
2006-01-23,승급->1 (L1=2 L2p=0 L3=0)
2006-02-07,해제 1->0 (2주 미충족)
2006-06-07,승급->1 (L1=2 L2p=0 L3=0)
2006-08-23,해제 1->0 (2주 미충족)
2007-08-09,승급->1 (L1=1 L2p=0 L3=1)
2007-11-20,승급->3 (L1=1 L2p=1 L3=1)
2007-12-04,갱신심사 유지 3 (새 근거)
2007-12-07,해제 3->2 (2주 미충족)
2007-12-24,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2008-01-08,승급->2 (L1=2 L2p=1 L3=1)
2008-01-16,승급->3 (L1=0 L2p=1 L3=1)
2008-01-30,갱신심사 유지 3 (새 근거)
2008-02-12,해제 3->2 (2주 미충족)
2008-02-26,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2008-03-03,승급->2 (L1=2 L2p=1 L3=1)
2008-03-17,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2008-03-18,승급->2 (L1=2 L2p=1 L3=1)
2008-04-01,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2008-07-02,승급->3 (L1=1 L2p=1 L3=1)
2008-07-16,갱신심사 유지 3 (새 근거)
2008-07-29,해제 3->2 (2주 미충족)
2008-08-12,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2008-09-01,승급->3 (L1=1 L2p=1 L3=2)
2008-09-16,갱신심사 유지 3 (새 근거)
2008-09-17,해제 3->2 (2주 미충족)
2008-10-01,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2008-10-02,승급->2 (L1=2 L2p=1 L3=2)
2008-10-08,승급->3 (L1=2 L2p=1 L3=2)
2008-10-22,갱신심사 유지 3 (새 근거)
2008-11-05,갱신심사 유지 3 (새 근거)
2008-11-13,해제 3->2 (2주 미충족)
2008-11-27,갱신심사 유지 2 (새 근거)
2008-11-27,해제 2->1 (2주 미충족)
2009-04-22,해제 1->0 (2주 미충족)
2010-02-09,승급->1 (L1=2 L2p=0 L3=0)
2010-02-24,해제 1->0 (2주 미충족)
2010-05-10,승급->1 (L1=2 L2p=0 L3=0)
2010-08-03,해제 1->0 (2주 미충족)
2010-08-20,승급->1 (L1=2 L2p=0 L3=0)
2010-09-14,해제 1->0 (2주 미충족)
2011-07-14,승급->1 (L1=0 L2p=0 L3=2)
2011-07-28,승급->2 (L1=1 L2p=0 L3=2)
2011-08-11,갱신심사 유지 2 (새 근거)
2011-08-26,갱신심사 유지 2 (새 근거)
2011-09-09,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2011-09-14,승급->2 (L1=2 L2p=0 L3=2)
2011-09-28,갱신심사 유지 2 (새 근거)
2011-10-13,갱신심사 유지 2 (새 근거)
2011-10-17,해제 2->1 (2주 미충족)
2012-02-02,해제 1->0 (2주 미충족)
2012-05-15,승급->1 (L1=2 L2p=0 L3=0)
2012-07-13,해제 1->0 (2주 미충족)
2013-06-05,승급->1 (L1=0 L2p=0 L3=2)
2013-06-11,승급->2 (L1=1 L2p=0 L3=2)
2013-06-25,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2013-06-26,승급->2 (L1=2 L2p=0 L3=2)
2013-07-10,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2013-07-24,해제 1->0 (2주 미충족)
2014-02-04,승급->1 (L1=2 L2p=0 L3=0)
2014-02-18,해제 1->0 (2주 미충족)
2014-08-01,승급->1 (L1=2 L2p=0 L3=0)
2014-08-26,해제 1->0 (2주 미충족)
2014-09-24,승급->1 (L1=2 L2p=0 L3=0)
2015-04-15,해제 1->0 (2주 미충족)
2015-06-24,승급->1 (L1=1 L2p=0 L3=1)
2015-08-11,승급->2 (L1=1 L2p=0 L3=2)
2015-08-26,갱신심사 유지 2 (새 근거)
2015-09-09,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2015-09-10,승급->2 (L1=2 L2p=0 L3=2)
2015-09-24,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2015-10-20,해제 1->0 (2주 미충족)
2015-11-16,승급->1 (L1=2 L2p=0 L3=0)
2015-12-03,해제 1->0 (2주 미충족)
2015-12-08,승급->1 (L1=2 L2p=0 L3=0)
2016-03-30,해제 1->0 (2주 미충족)
2016-05-19,승급->1 (L1=2 L2p=0 L3=0)
2016-06-20,해제 1->0 (2주 미충족)
2016-06-27,승급->1 (L1=2 L2p=0 L3=0)
2016-07-12,해제 1->0 (2주 미충족)
2017-08-11,승급->1 (L1=2 L2p=0 L3=0)
2017-09-04,해제 1->0 (2주 미충족)
2017-11-16,승급->1 (L1=2 L2p=0 L3=0)
2017-11-30,해제 1->0 (2주 미충족)
2018-01-18,승급->1 (L1=2 L2p=0 L3=0)
2018-02-20,해제 1->0 (2주 미충족)
2018-03-02,승급->1 (L1=2 L2p=0 L3=0)
2018-05-15,해제 1->0 (2주 미충족)
2018-05-30,승급->1 (L1=2 L2p=0 L3=0)
2018-06-15,해제 1->0 (2주 미충족)
2018-06-22,승급->1 (L1=2 L2p=0 L3=0)
2019-01-22,해제 1->0 (2주 미충족)
2019-01-23,승급->1 (L1=2 L2p=0 L3=0)
2019-02-13,해제 1->0 (2주 미충족)
2019-02-15,승급->1 (L1=2 L2p=0 L3=0)
2019-03-04,해제 1->0 (2주 미충족)
2019-03-05,승급->1 (L1=2 L2p=0 L3=0)
2019-04-30,해제 1->0 (2주 미충족)
2019-05-07,승급->1 (L1=1 L2p=0 L3=1)
2019-08-01,승급->2 (L1=2 L2p=0 L3=2)
2019-08-16,갱신심사 유지 2 (새 근거)
2019-08-30,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2019-10-29,해제 1->0 (2주 미충족)
2020-01-28,승급->1 (L1=1 L2p=0 L3=1)
2020-02-19,승급->2 (L1=1 L2p=0 L3=2)
2020-03-04,갱신심사 유지 2 (새 근거)
2020-03-18,갱신심사 유지 2 (새 근거)
2020-04-01,갱신심사 유지 2 (새 근거)
2020-04-16,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2020-04-17,승급->2 (L1=2 L2p=0 L3=2)
2020-05-06,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2020-06-01,해제 1->0 (2주 미충족)
2020-06-12,승급->1 (L1=2 L2p=0 L3=0)
2020-06-26,해제 1->0 (2주 미충족)
2020-10-29,승급->1 (L1=2 L2p=0 L3=0)
2020-11-12,해제 1->0 (2주 미충족)
2021-08-13,승급->2 (L1=1 L2p=2 L3=0)
2021-08-30,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2021-08-31,승급->2 (L1=1 L2p=2 L3=0)
2021-09-14,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2021-09-15,승급->2 (L1=1 L2p=2 L3=0)
2021-10-05,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2021-10-06,승급->2 (L1=1 L2p=2 L3=0)
2021-10-21,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2021-10-22,승급->2 (L1=1 L2p=2 L3=0)
2021-11-05,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2021-11-08,승급->2 (L1=1 L2p=2 L3=0)
2021-11-22,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2021-11-23,승급->2 (L1=1 L2p=2 L3=0)
2021-11-25,승급->3 (L1=2 L2p=2 L3=0)
2021-12-09,갱신심사 유지 3 (새 근거)
2021-12-23,갱신해제 3->2 (새 근거 없음 — 레짐 이관)
2021-12-24,승급->3 (L1=2 L2p=2 L3=1)
2022-01-10,갱신해제 3->2 (새 근거 없음 — 레짐 이관)
2022-01-11,승급->3 (L1=2 L2p=2 L3=1)
2022-01-25,갱신해제 3->2 (새 근거 없음 — 레짐 이관)
2022-01-26,승급->3 (L1=2 L2p=2 L3=1)
2022-02-14,갱신심사 유지 3 (새 근거)
2022-02-16,해제 3->2 (2주 미충족)
2022-03-03,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2022-03-04,승급->2 (L1=2 L2p=1 L3=1)
2022-03-21,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2022-03-22,승급->2 (L1=2 L2p=1 L3=1)
2022-04-05,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2022-04-06,승급->2 (L1=2 L2p=1 L3=1)
2022-04-20,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2022-04-21,승급->2 (L1=2 L2p=1 L3=1)
2022-05-06,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2022-05-09,승급->2 (L1=2 L2p=1 L3=1)
2022-05-23,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2022-05-24,승급->2 (L1=2 L2p=1 L3=1)
2022-06-09,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2022-06-10,승급->2 (L1=2 L2p=1 L3=1)
2022-06-15,승급->3 (L1=2 L2p=1 L3=1)
2022-06-29,갱신심사 유지 3 (새 근거)
2022-07-08,해제 3->2 (2주 미충족)
2022-07-22,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2022-07-25,승급->2 (L1=2 L2p=1 L3=1)
2022-08-08,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2022-08-09,승급->2 (L1=2 L2p=1 L3=1)
2022-08-24,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2022-08-25,승급->2 (L1=2 L2p=1 L3=1)
2022-09-08,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2022-09-13,승급->2 (L1=2 L2p=1 L3=1)
2022-09-27,승급->3 (L1=2 L2p=1 L3=1)
2022-10-13,갱신심사 유지 3 (새 근거)
2022-10-18,해제 3->2 (2주 미충족)
2022-11-01,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2022-12-09,해제 1->0 (2주 미충족)
2023-02-16,승급->1 (L1=2 L2p=0 L3=0)
2023-03-27,해제 1->0 (2주 미충족)
2023-10-05,승급->1 (L1=2 L2p=0 L3=0)
2023-11-14,해제 1->0 (2주 미충족)
2024-04-15,승급->1 (L1=2 L2p=0 L3=0)
2024-05-08,해제 1->0 (2주 미충족)
2024-07-02,승급->2 (L1=1 L2p=2 L3=0)
2024-07-16,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2024-07-17,승급->2 (L1=1 L2p=2 L3=0)
2024-07-19,승급->3 (L1=2 L2p=2 L3=0)
2024-08-02,갱신심사 유지 3 (새 근거)
2024-08-19,갱신심사 유지 3 (새 근거)
2024-08-26,해제 3->2 (2주 미충족)
2024-09-09,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2024-09-26,해제 1->0 (2주 미충족)
2024-10-22,승급->1 (L1=2 L2p=0 L3=0)
2024-11-20,해제 1->0 (2주 미충족)
2024-12-19,승급->1 (L1=2 L2p=0 L3=0)
2025-03-26,승급->2 (L1=1 L2p=0 L3=2)
2025-04-09,갱신심사 유지 2 (새 근거)
2025-04-23,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2025-04-24,승급->2 (L1=2 L2p=0 L3=2)
2025-05-13,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2025-06-11,해제 1->0 (2주 미충족)
2025-10-13,승급->1 (L1=2 L2p=0 L3=0)
2025-10-27,해제 1->0 (2주 미충족)
2025-11-18,승급->1 (L1=2 L2p=0 L3=0)
2025-12-08,해제 1->0 (2주 미충족)
2026-02-06,승급->1 (L1=2 L2p=0 L3=0)
2026-02-25,해제 1->0 (2주 미충족)
2026-03-03,승급->1 (L1=1 L2p=0 L3=1)
2026-04-01,승급->2 (L1=2 L2p=1 L3=1)
2026-04-02,승급->3 (L1=2 L2p=1 L3=1)
2026-04-16,갱신해제 3->2 (새 근거 없음 — 레짐 이관)
2026-04-30,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2026-05-04,승급->2 (L1=2 L2p=1 L3=1)
2026-05-19,갱신해제 2->1 (새 근거 없음 — 레짐 이관)
2026-05-22,승급->2 (L1=2 L2p=1 L3=1)
2026-05-27,승급->3 (L1=2 L2p=2 L3=0)
2026-06-11,갱신심사 유지 3 (새 근거)
2026-06-25,갱신해제 3->2 (새 근거 없음 — 레짐 이관)
2026-06-26,승급->3 (L1=2 L2p=2 L3=2)
2026-07-10,갱신심사 유지 3 (새 근거)
2026-07-27,갱신심사 유지 3 (새 근거)
2026-08-10,갱신심사 유지 3 (새 근거)
2026-08-25,갱신해제 3->2 (새 근거 없음 — 레짐 이관)
